"","respID","qID","altID","obsID","price","time","agent","location"
"1",1,1,1,1,"$10","In 7 days","Human","Doorstep"
"2",1,1,2,1,"$25","Tomorrow","Autonomous vehicle","Doorstep"
"3",1,2,1,2,"$25","In 7 days","Autonomous vehicle","Curbside"
"4",1,2,2,2,"$0","Tomorrow","Autonomous vehicle","Neighborhood locker"
"5",1,3,1,3,"$20","In 4 days","Autonomous vehicle","Curbside"
"6",1,3,2,3,"$25","Tomorrow","Autonomous vehicle","Neighborhood locker"
"7",1,4,1,4,"$0","Tomorrow","Human","Doorstep"
"8",1,4,2,4,"$10","In 7 days","Autonomous vehicle","Curbside"
"9",1,5,1,5,"$30","Tomorrow","Human","Curbside"
"10",1,5,2,5,"$25","In 4 days","Human","Doorstep"
"11",1,6,1,6,"$25","In 4 days","Autonomous vehicle","Doorstep"
"12",1,6,2,6,"$15","In 4 days","Autonomous vehicle","Doorstep"
"13",1,7,1,7,"$30","Today","Autonomous vehicle","Neighborhood locker"
"14",1,7,2,7,"$5","In 4 days","Autonomous vehicle","Curbside"
"15",1,8,1,8,"$25","Tomorrow","Human","Doorstep"
"16",1,8,2,8,"$20","Tomorrow","Autonomous vehicle","Curbside"
"17",1,9,1,9,"$0","In 7 days","Human","Neighborhood locker"
"18",1,9,2,9,"$30","In 7 days","Human","Neighborhood locker"
"19",1,10,1,10,"$15","In 4 days","Autonomous vehicle","Curbside"
"20",1,10,2,10,"$30","Tomorrow","Autonomous vehicle","Neighborhood locker"
"21",2,1,1,11,"$0","In 7 days","Autonomous vehicle","Neighborhood locker"
"22",2,1,2,11,"$15","Tomorrow","Autonomous vehicle","Curbside"
"23",2,2,1,12,"$10","In 4 days","Human","Curbside"
"24",2,2,2,12,"$15","Today","Human","Neighborhood locker"
"25",2,3,1,13,"$5","In 7 days","Human","Neighborhood locker"
"26",2,3,2,13,"$0","Today","Human","Curbside"
"27",2,4,1,14,"$30","Today","Human","Doorstep"
"28",2,4,2,14,"$15","In 7 days","Autonomous vehicle","Curbside"
"29",2,5,1,15,"$15","Tomorrow","Human","Doorstep"
"30",2,5,2,15,"$25","In 7 days","Human","Doorstep"
"31",2,6,1,16,"$0","In 7 days","Human","Curbside"
"32",2,6,2,16,"$0","In 4 days","Human","Doorstep"
"33",2,7,1,17,"$10","Today","Autonomous vehicle","Neighborhood locker"
"34",2,7,2,17,"$15","Tomorrow","Autonomous vehicle","Curbside"
"35",2,8,1,18,"$5","In 4 days","Autonomous vehicle","Curbside"
"36",2,8,2,18,"$25","In 4 days","Human","Neighborhood locker"
"37",2,9,1,19,"$15","Tomorrow","Autonomous vehicle","Neighborhood locker"
"38",2,9,2,19,"$10","In 7 days","Human","Curbside"
"39",2,10,1,20,"$20","In 4 days","Human","Doorstep"
"40",2,10,2,20,"$5","In 4 days","Human","Doorstep"
"41",3,1,1,21,"$10","Today","Human","Neighborhood locker"
"42",3,1,2,21,"$0","In 4 days","Human","Curbside"
"43",3,2,1,22,"$30","In 4 days","Human","Doorstep"
"44",3,2,2,22,"$30","Tomorrow","Human","Curbside"
"45",3,3,1,23,"$30","Today","Human","Neighborhood locker"
"46",3,3,2,23,"$20","In 7 days","Human","Doorstep"
"47",3,4,1,24,"$15","Today","Human","Curbside"
"48",3,4,2,24,"$20","In 7 days","Autonomous vehicle","Curbside"
"49",3,5,1,25,"$0","Today","Human","Neighborhood locker"
"50",3,5,2,25,"$5","Today","Human","Doorstep"
"51",3,6,1,26,"$30","In 4 days","Human","Neighborhood locker"
"52",3,6,2,26,"$25","Today","Human","Curbside"
"53",3,7,1,27,"$5","In 4 days","Human","Doorstep"
"54",3,7,2,27,"$30","Tomorrow","Autonomous vehicle","Neighborhood locker"
"55",3,8,1,28,"$25","Today","Human","Doorstep"
"56",3,8,2,28,"$15","In 4 days","Autonomous vehicle","Neighborhood locker"
"57",3,9,1,29,"$20","Today","Autonomous vehicle","Doorstep"
"58",3,9,2,29,"$0","In 4 days","Human","Curbside"
"59",3,10,1,30,"$5","In 7 days","Human","Curbside"
"60",3,10,2,30,"$10","In 4 days","Autonomous vehicle","Neighborhood locker"
"61",4,1,1,31,"$15","Today","Autonomous vehicle","Curbside"
"62",4,1,2,31,"$30","In 4 days","Autonomous vehicle","Doorstep"
"63",4,2,1,32,"$5","In 4 days","Human","Curbside"
"64",4,2,2,32,"$0","Tomorrow","Human","Neighborhood locker"
"65",4,3,1,33,"$10","Today","Human","Curbside"
"66",4,3,2,33,"$25","Today","Autonomous vehicle","Neighborhood locker"
"67",4,4,1,34,"$0","In 7 days","Human","Neighborhood locker"
"68",4,4,2,34,"$10","In 4 days","Human","Neighborhood locker"
"69",4,5,1,35,"$15","In 4 days","Human","Curbside"
"70",4,5,2,35,"$5","In 4 days","Human","Doorstep"
"71",4,6,1,36,"$5","Tomorrow","Human","Curbside"
"72",4,6,2,36,"$20","In 4 days","Autonomous vehicle","Curbside"
"73",4,7,1,37,"$0","Tomorrow","Autonomous vehicle","Doorstep"
"74",4,7,2,37,"$5","In 7 days","Human","Curbside"
"75",4,8,1,38,"$20","In 4 days","Autonomous vehicle","Neighborhood locker"
"76",4,8,2,38,"$30","In 4 days","Human","Curbside"
"77",4,9,1,39,"$25","In 4 days","Human","Doorstep"
"78",4,9,2,39,"$5","In 4 days","Human","Curbside"
"79",4,10,1,40,"$30","In 4 days","Autonomous vehicle","Curbside"
"80",4,10,2,40,"$25","In 7 days","Autonomous vehicle","Doorstep"
"81",5,1,1,41,"$5","Tomorrow","Human","Doorstep"
"82",5,1,2,41,"$10","In 7 days","Human","Doorstep"
"83",5,2,1,42,"$5","Tomorrow","Human","Neighborhood locker"
"84",5,2,2,42,"$5","In 4 days","Human","Curbside"
"85",5,3,1,43,"$5","In 4 days","Autonomous vehicle","Doorstep"
"86",5,3,2,43,"$25","Tomorrow","Human","Curbside"
"87",5,4,1,44,"$30","In 7 days","Human","Doorstep"
"88",5,4,2,44,"$10","In 7 days","Autonomous vehicle","Neighborhood locker"
"89",5,5,1,45,"$25","Tomorrow","Human","Doorstep"
"90",5,5,2,45,"$20","In 4 days","Human","Doorstep"
"91",5,6,1,46,"$15","Tomorrow","Human","Doorstep"
"92",5,6,2,46,"$15","In 7 days","Human","Curbside"
"93",5,7,1,47,"$5","In 4 days","Autonomous vehicle","Neighborhood locker"
"94",5,7,2,47,"$5","Today","Autonomous vehicle","Curbside"
"95",5,8,1,48,"$15","Today","Autonomous vehicle","Curbside"
"96",5,8,2,48,"$20","Tomorrow","Human","Curbside"
"97",5,9,1,49,"$30","In 7 days","Human","Doorstep"
"98",5,9,2,49,"$25","In 7 days","Human","Neighborhood locker"
"99",5,10,1,50,"$25","In 7 days","Human","Curbside"
"100",5,10,2,50,"$30","Tomorrow","Human","Doorstep"
